"ASV_id","domain","phyla","class","order","family","genus","specie"
"00ddc76c36d19a20e6528ec05dc62abf","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS7_marine_group","NS7_marine_group","uncultured_bacterium"
"00e047a89c3cc1d2d459545ac75f18ed","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_marine"
"00e6c13fe86364a5084987093afa1916","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade",""
"00ea1d69ce015d213168084c14aef0c6","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast","Phalacroma_mitra"
"00f19f26349eb4309515accf378de485","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","",""
"00f2c7c33df2f0ba3e324ce1365dc343","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade",""
"00f8625f184ce3616e2fbcd2c6df4bef","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Haliscomenobacter"
"0103d3a4f8828b8350ed7f2bc7323431","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","DEV007","uncultured_marine"
"01087b4f9654743c6a43923c04592b5e","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured_Cytophaga"
"010890dffd9b74eee4b99b423b57db94","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"010918e5bd3a17ab5594326e783614e2","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna",""
"01095807c63abfc3f4c5735789d25288","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","uncultured_SAR324"
"011375db47b436364b3abed52a3d06ab","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae","uncultured","uncultured_Alphaproteobacteria"
"01147872aeb2899aafc9a673a5d43206","Bacteria","Proteobacteria","Gammaproteobacteria","HgCo23","HgCo23","HgCo23","uncultured_bacterium"
"011bce143193e1f2b407acfedf875fb8","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Sneathiella","uncultured_bacterium"
"011d3dd7c4aea45531da73ba42e08523","Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j","uncultured_bacterium"
"012054e3f62502aff7f455e1592ea87f","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade",""
"0126293c777a151d80d93dd20d51a955","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","uncultured_bacterium"
"012c2705cce32f01f8bd2d9d41abc164","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"012df664537b445d7e50eacafcfeb542","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"0139457b4f97046c060f8b7bef6080c6","Bacteria","","","","","",""
"013dd25b1ed8e6dba76003cffd9f0bab","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"014054460abf96044ebc78a2934d2823","Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","uncultured_bacterium"
"0144252f311996485abcc13abf919783","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","uncultured","uncultured","uncultured_organism"
"01470070bc67e6374830474ff9e3cef6","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","uncultured_marine"
"014776c7fb873ee850c42520756c49cd","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast","Dolichomastix_tenuilepis"
"014c7e33bb3b263770bc10a68ecdabe2","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","AB1","AB1",""
"014e53f3b5b4592cb69ee7ad57df5676","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"014f787aad2075307d98a4489ca0b218","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","oc32","uncultured_Rhodocyclaceae"
"01505c85c3b1503d5dc558c08dc55f0f","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnobacter",""
"0153e0d434f3c609249b0a651ad8db16","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",""
"015600cdcdfdc7333d251c9c9160eb72","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",""
"0157379539ef7be9aaec0a68267d5a70","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group","uncultured_Verrucomicrobiales"
"015b062166b7ce6b241a1f8fbe12ba80","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria",""
"015dad1fafca90944d905beb2a980bc3","Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II","Marine_Group_II",""
"016ac80fc44ff0a85781dbffc251011e","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","uncultured_marine"
"016ba09aae392b142add5f11c344202d","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","uncultured_marine"
"0172677a0e72f9e58450f144d2e2b66e","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"01770ea2fb7f041c787e5a481888c27e","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","NS10_marine_group","uncultured_Bacteroidetes"
"017fd0126f4a27a1e8abf45831aef72e","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","S25-593","uncultured_marine"
"0180292e080cac28fd1da43b45360b6a","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"01874a5f6a88aa5196a4c6d1db4d910d","Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II","Marine_Group_II","unidentified_archaeon"
"018ac94f5f794bb10edae0c9849c3b34","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"01b308c6394a6af3fc03ac301c5067c9","Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j","uncultured_marine"
"01c3a31fca7dfaee116602ebc5880a4f","Bacteria","","","","","",""
"01caf470764018dd4c6bf4e847e96308","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"01cc2516697cf1b59d3bdcdc881c233e","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Oleispira",""
"01d7a8b62113bab0bf4f50c8081f9436","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","uncultured","marine_metagenome"
"01db964db23be850ea86ee8051293811","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast","Chrysochromulina_sp."
"01e3a10453a0f7cc6f327b8091090c58","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast","uncultured_Cryptomonadaceae"
"01e4b7b2788d342665665afaf5d02855","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured","uncultured",""
"01f81b77beac72bb2b7ec0725643c68a","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisella","Francisella_sp."
"01fad90a86988e6411352dac5eda55a4","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","NS10_marine_group","marine_metagenome"
"020d6788e4a059276fe7c791a74987b6","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","",""
"02125f9ec5134e17794f204f4f7c0698","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)",""
"0215988bb6fe001eb478a416e9c17fb7","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"021a60490bbb93b30a1e1a0019223750","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea",""
"021ad2d6095ce74998a13276588c7e68","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","uncultured","uncultured_Rhodospirillaceae"
"021e3aa1a7f0092b30d5e1ecf470060d","Bacteria","Proteobacteria","Alphaproteobacteria","","","",""
"021fb5047716aa9ab47d302ded49369e","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","uncultured","uncultured_marine"
"02204e3c05716c062949f6d6f455ecf4","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade","marine_metagenome"
"022b732b69acfb5da3b068eab672e333","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ib",""
"022fb026d5d815ef3088648fda36e50b","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"022fb8a30d296874d66e7689fb346f97","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast","Bigelowiella_natans"
"023dc9460d7d476d3009fc5015add602","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae","MD3-55","uncultured_proteobacterium"
"02414b330bc042182eef42e72a07cac5","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"02541fa082aa960dbf17e925a5bb585d","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","uncultured_bacterium"
"0257df5ce232ff8a46974cb959347ab4","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",""
"0258e892ebeb755f95a2170999dde72e","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","marine_metagenome"
"02598367c3084826db395f6a326aa50f","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"0267836ecddb907537dbf5d6274eed2d","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade","alpha_proteobacterium"
"026881a1edc70e45ba5409ce8cba513c","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"0273b8f67bb30678f81651563945b974","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",""
"0275001869fdc0f0471b884cf33fd8f3","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus","uncultured_Cryomorphaceae"
"027557c171a271bb3bb7d61768f19ef3","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","uncultured_bacterium"
"028500cea95bc87352bd07f705508825","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","unidentified_marine"
"0285ef2d27b2ee34bf3ec9e8571b6c93","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade",""
"02907f29f436d62b36a086f366cc357b","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Halobacteriovorax","uncultured_sediment"
"0297b109b45b15633cecb44726aa9d4d","Bacteria","Proteobacteria","Gammaproteobacteria","","","",""
"02a24115232b57750fdad54e4e4333eb","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","S25-593","uncultured_marine"
"02a6b187b591d2ce2dbcbffc13bf1fa8","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_delta"
"02a7dea3187de6b271b99be30ea4ae78","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","",""
"02aac72db8b71f2075e1b9a82006a10a","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus_MIT9313","Prochlorococcus_marinus"
"02c2720b628165d079fd5018f1f36a87","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","uncultured","uncultured",""
"02c5912d06b1123659db92767fbdd763","Bacteria","","","","","",""
"02c59af0d7b7e54d921ad5d795d696dd","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",""
"02c7a4a6d559467833f4a32e8022d92c","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"02e1d7528558ba05d0d2b568d2d82706","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum","marine_metagenome"
